Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"""=============Add a product with many color and size pairs from the product detail page and verify added product in cart=================""",Chrome 131.0.0.0,,,02-01-2025 21:20:54,02-01-2025 21:20:54,0.000s,PASSED
"scrollToElement(findTestObject(""Object Repository/pages/home_page/product_section_index"", [""section-pos"":1, ""index"":2]), 10)",Chrome 131.0.0.0,Scroll to the product,,02-01-2025 21:20:54,02-01-2025 21:20:54,0.125s,PASSED
delay(3),Chrome 131.0.0.0,,,02-01-2025 21:20:54,02-01-2025 21:20:57,3.014s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/product_section_index"", [""section-pos"":1, ""index"":2]))",Chrome 131.0.0.0,Go to product detail page,,02-01-2025 21:20:57,02-01-2025 21:21:05,7.260s,PASSED
"common.UtilKeyword.waitForPageLoadAndDelay(20, 3)",Chrome 131.0.0.0,,,02-01-2025 21:21:05,02-01-2025 21:21:08,3.190s,PASSED
product.ProductDetail.selectProductColorWithPosition(1),Chrome 131.0.0.0,Add product to cart with the first color and size pair,,02-01-2025 21:21:08,02-01-2025 21:21:10,2.409s,PASSED
product.ProductDetail.selectProductSizeWithPosition(1),Chrome 131.0.0.0,,,02-01-2025 21:21:10,02-01-2025 21:21:13,2.487s,PASSED
"click(findTestObject(""Object Repository/pages/product_detail_page/add_to_cart_button""))",Chrome 131.0.0.0,,,02-01-2025 21:21:13,02-01-2025 21:21:13,0.496s,PASSED
"common.UtilKeyword.handleToastMessage(""Đã thêm vào giỏ hàng!"", 60)",Chrome 131.0.0.0,Handle toast message after adding product to cart,,02-01-2025 21:21:13,02-01-2025 21:21:14,0.913s,PASSED
"common.UtilKeyword.takeScreenShot(""added_product_first_option"")",Chrome 131.0.0.0,Take screenshot,,02-01-2025 21:21:14,02-01-2025 21:21:14,0.311s,PASSED
delay(3),Chrome 131.0.0.0,,,02-01-2025 21:21:14,02-01-2025 21:21:18,3.007s,PASSED
